index,x,y
1,21.895053,0.212345
2,22.452091,0.372074
3,21.943692,0.196137
4,21.922758,0.297393
5,22.123549,0.364264
6,22.094618,0.32922
7,21.295609,0.250548
8,21.736766,0.13865
9,21.70475,0.220243
10,21.457901,0.174876
11,21.439722,0.46863
12,21.352909,0.1271
13,21.273174,0.22477
14,20.864681,0.131659
15,21.042865,0.129173
16,20.965829,0.127711
17,21.026322,0.108749
18,20.875093,0.126688
19,20.957967,0.396146
20,20.915421,0.166071
21,20.664334,0.22746
22,20.889523,0.174794
23,20.599532,0.148808
24,20.620786,0.162344
25,20.85866,0.153478
26,20.702427,0.195748
27,20.717505,0.104284
28,20.638241,0.120856
29,20.624768,0.13185
30,20.402999,0.283695
31,20.616416,0.228398
32,20.436308,0.10142
33,20.236386,0.158403
34,20.499986,0.151893
35,20.567534,0.109291
36,20.431573,0.096273
37,20.325487,0.099413
38,20.292776,0.145716
39,20.218889,0.13971
40,20.069854,0.078075
41,20.008907,0.130873
42,19.983585,0.087116
43,19.780512,0.133346
44,19.994618,0.106108
45,19.894865,0.089291
46,19.619423,0.149686
47,19.707498,0.134611
48,19.737843,0.106044
49,19.888252,0.094688
50,19.80836,0.079887
51,19.478004,0.110771
52,19.707203,0.144096
53,19.599327,0.10599
54,19.658728,0.124074
55,19.260539,0.175027
56,19.268936,0.093295
57,19.255528,0.125833
58,19.036518,0.135328
59,18.973479,0.152364
60,19.076878,0.074927
61,19.189023,0.192898
62,19.003395,0.105906
63,18.749225,0.062823
64,18.820919,0.058122
65,18.871767,0.064083
66,18.705339,0.060121
67,18.496047,0.116146
68,18.58225,0.070518
69,18.458739,0.051377
70,18.309818,0.053794
71,18.311172,0.055551
72,18.081662,0.0942
73,18.168987,0.085088
74,18.011223,0.06231
75,17.979659,0.078524
76,18.039613,0.119868
77,17.959254,0.066975
78,17.621371,0.083107
79,17.87566,0.056525
80,17.588979,0.052571
81,17.604916,0.073588
82,17.443314,0.084121
83,17.418112,0.048363
84,17.43886,0.053884
85,17.230964,0.037299
86,17.147674,0.072434
87,17.024508,0.061536
88,17.066959,0.048499
89,17.016877,0.044526
90,16.829671,0.052476
91,16.911287,0.070162
92,16.855288,0.050402
93,16.603911,0.065078
94,16.494734,0.041799
95,16.325311,0.044456
96,16.394722,0.064974
97,16.307927,0.02991
98,16.171302,0.065147
99,15.979693,0.030544
